frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf
246,4,4,3250.1,880.2,0.5443,3152.6,962.4,0.1086,,,,3157.7,965.0,0.1817,,,,3411.9,1134.4,0.439,,,
249,2,3,,,,,,,,,,50.5,714.4,0.1494,315.9,678.5,0.1284,791.8,596.5,0.2649,,,
249,4,4,3254.4,880.2,0.3983,3150.2,968.4,0.1186,,,,3156.2,970.4,0.1322,,,,3248.4,970.4,0.1834,,,
252,2,3,,,,,,,,,,71.8,722.9,0.1449,,,,768.2,532.0,0.1221,515.0,975.7,0.1194
252,4,3,3255.2,881.9,0.5087,,,,,,,3150.2,969.2,0.129,,,,3430.2,1091.5,0.1036,,,
255,2,3,484.1,307.0,0.1437,,,,,,,66.8,722.1,0.1713,,,,767.8,532.5,0.7374,,,
255,4,4,3256.2,882.7,0.7046,3151.2,965.7,0.1071,,,,3153.6,965.7,0.1666,,,,3405.2,1129.4,0.4604,,,
258,2,2,,,,,,,,,,65.9,723.7,0.1535,,,,762.2,526.5,0.7195,,,
258,4,3,3255.8,885.2,0.6826,,,,,,,3162.4,964.2,0.1513,,,,3411.4,1131.8,0.5118,,,
261,4,4,3258.7,887.4,0.435,3162.2,965.3,0.1322,,,,3166.0,967.2,0.2102,,,,3362.7,948.6,0.2261,,,
261,2,4,468.8,304.6,0.1338,,,,,,,61.2,717.3,0.163,69.3,717.3,0.1052,750.2,516.0,0.9041,,,
264,2,4,465.8,1071.2,0.1211,,,,,,,59.7,717.4,0.1988,67.7,717.4,0.1245,222.9,707.6,0.4166,,,
264,4,2,3260.4,887.9,0.5319,,,,,,,3162.3,966.8,0.1204,,,,,,,,,
264,2,2,467.1,1069.2,0.1407,,,,,,,,,,,,,,,,343.2,819.5,0.1047
267,2,2,,,,,,,,,,58.3,713.8,0.1855,,,,217.8,704.2,0.5843,,,
267,4,4,3263.0,890.3,0.6247,3160.6,965.9,0.1583,,,,3160.6,965.9,0.1314,,,,3408.0,1136.4,0.387,,,
270,2,4,440.6,1063.2,0.1136,,,,,,,58.5,701.2,0.1353,,,,206.6,691.6,0.5565,487.4,957.0,0.1199
270,4,3,3263.0,891.0,0.7681,,,,,,,3163.0,969.0,0.1855,,,,3429.0,1105.0,0.1768,,,
273,2,4,433.1,1054.9,0.1194,,,,,,,51.2,693.8,0.1732,,,,189.0,674.0,0.3672,444.9,911.4,0.1574
273,4,2,3264.6,892.7,0.9098,,,,,,,3166.9,967.7,0.2765,,,,,,,,,
276,4,5,3265.0,893.6,0.7884,3158.7,969.7,0.1748,,,,3164.4,967.8,0.1614,3209.9,958.3,0.1535,3409.3,1133.5,0.1283,,,
276,2,3,429.7,1032.6,0.1067,,,,,,,,,,,,,705.9,469.0,0.31,448.9,912.1,0.195
279,4,3,3267.7,893.4,0.8594,3160.5,966.8,0.1285,,,,3164.5,962.9,0.1733,,,,,,,,,
279,2,6,414.1,1028.4,0.361,,,,572.2,878.0,0.1585,429.1,1037.8,0.1156,485.6,1014.3,0.1117,180.7,666.4,0.5417,451.7,920.3,0.1081
279,2,4,416.7,1027.1,0.2417,,,,571.6,882.4,0.2045,,,,335.6,1420.7,0.136,,,,449.9,922.9,0.193
282,2,4,404.1,1024.2,0.4049,,,,571.9,873.7,0.3075,,,,,,,697.7,460.9,0.3451,415.6,868.8,0.1663
282,4,5,3267.7,893.2,0.9808,3166.4,968.5,0.2074,,,,3171.1,968.5,0.1843,,,,3411.4,1133.5,0.1629,3442.0,1166.4,0.129
282,2,3,404.4,1023.8,0.4048,,,,572.9,874.6,0.2683,,,,,,,,,,424.6,879.8,0.1367
285,2,4,394.3,1019.8,0.2907,,,,567.0,871.5,0.3006,,,,,,,146.4,622.7,0.5806,416.8,885.8,0.2103
285,4,4,3267.1,895.4,1.0696,3164.8,965.9,0.1902,,,,3169.3,965.9,0.2017,,,,3414.9,1134.2,0.2245,,,
285,2,3,394.8,1017.6,0.2471,,,,565.0,872.1,0.2508,,,,,,,,,,418.7,882.5,0.1868
288,2,4,388.5,1010.7,0.1823,,,,557.7,866.2,0.2306,,,,,,,142.3,622.2,0.5263,423.1,896.1,0.1489
288,2,3,131.1,1500.8,0.1129,,,,322.4,1356.8,0.3046,,,,,,,,,,414.6,886.1,0.1841
288,4,5,3269.8,893.2,0.9031,3164.1,960.0,0.2224,,,,3168.7,960.0,0.2004,,,,3410.0,1128.1,0.2872,3451.4,1171.9,0.1055
291,4,5,3269.8,895.7,1.0701,3160.2,957.1,0.1391,,,,3162.3,957.1,0.2557,,,,3412.3,1130.3,0.1686,3453.9,1174.1,0.1156
291,2,4,385.0,1004.1,0.3036,,,,555.3,852.9,0.1573,,,,,,,133.3,611.9,0.9167,373.9,843.5,0.1597
294,4,5,3272.2,894.0,0.8092,,,,,,,3164.6,962.5,0.1728,3188.1,941.0,0.1009,3262.4,978.1,0.2758,3444.4,1166.0,0.1164
294,2,2,378.2,1000.1,0.5008,,,,,,,,,,,,,,,,368.6,839.6,0.1686
294,2,4,378.3,1001.4,0.5097,,,,547.3,842.2,0.1139,,,,,,,657.5,420.8,0.4013,382.0,851.6,0.1928
297,4,4,3270.8,896.7,0.8307,,,,,,,3162.9,960.2,0.1426,,,,3408.3,1131.5,0.1903,3454.8,983.5,0.1402
300,4,2,3272.2,896.5,0.7911,,,,,,,,,,,,,3266.5,980.0,0.3212,,,
303,4,3,3274.1,897.1,0.7446,,,,,,,3167.6,960.5,0.1656,,,,3399.0,1128.0,0.1558,,,
306,4,4,3276.6,897.3,0.7975,3165.2,954.9,0.1861,,,,3169.3,959.0,0.2242,,,,3385.9,1119.5,0.1002,,,
309,4,4,3277.8,901.0,0.8812,3170.9,958.2,0.1532,,,,3172.8,958.2,0.2716,,,,3399.9,1128.1,0.3004,,,
312,4,3,3278.5,902.2,0.4677,3164.6,955.4,0.1654,,,,3168.3,955.4,0.2666,,,,,,,,,
315,4,4,3281.7,901.6,0.6433,3167.6,954.1,0.1799,,,,3169.5,956.0,0.2335,,,,3399.5,1128.5,0.1217,,,
318,4,4,3283.8,902.9,0.4021,3173.5,954.5,0.1351,,,,3177.0,954.5,0.2603,,,,3404.7,1128.9,0.2184,,,
318,2,5,307.6,935.5,0.3895,,,,,,,304.2,909.9,0.1204,60.8,351.3,0.116,598.2,351.3,0.5313,307.6,752.1,0.1561
321,4,3,3286.1,904.3,0.4867,3174.1,952.1,0.2491,,,,3176.0,954.0,0.1745,,,,,,,,,
324,4,3,3287.1,903.9,0.6887,3170.9,948.5,0.1813,,,,3172.8,950.4,0.2275,,,,,,,,,
327,4,4,3288.1,903.3,0.6274,3169.8,949.0,0.1876,,,,3173.6,950.9,0.2001,,,,3354.9,920.5,0.115,,,
330,4,4,3291.1,902.8,0.7593,3172.3,944.4,0.1941,,,,3168.3,946.4,0.112,3417.9,982.1,0.1451,,,,,,
333,4,2,3301.7,905.7,0.6737,,,,,,,3181.1,947.9,0.1708,,,,,,,,,
336,4,2,3319.0,914.5,0.6866,,,,,,,3201.1,958.5,0.2648,,,,,,,,,
339,4,2,3341.0,927.5,0.4896,,,,,,,3220.7,968.9,0.1494,,,,,,,,,
342,4,4,3370.9,952.4,0.5018,3240.0,993.5,0.132,,,,,,,,,,3355.9,1029.1,0.1652,3496.2,1193.6,0.1218
345,4,4,3408.1,995.9,0.4858,,,,,,,3279.4,1035.8,0.1579,,,,3487.9,1206.2,0.1698,3518.7,1224.3,0.1239
348,4,3,3448.9,1058.0,0.3598,3316.5,1091.5,0.1327,,,,,,,,,,,,,3553.0,1290.9,0.1161
351,4,4,3490.2,1127.6,0.2337,3352.7,1152.8,0.1766,,,,3438.2,1228.6,0.1763,,,,3465.1,1203.3,0.4276,,,
354,4,4,3529.8,1189.0,0.2965,3396.4,1209.1,0.1848,,,,3398.1,1212.4,0.205,,,,3503.2,1260.9,0.3395,,,
360,4,3,3603.9,1312.5,0.2056,3461.0,1323.1,0.2202,,,,,,,,,,3577.4,1383.2,0.1891,,,
363,4,3,3643.2,1401.6,0.197,3501.6,1408.4,0.1574,,,,3499.9,1415.2,0.1416,,,,,,,,,
561,12,3,1626.1,798.7,0.1324,,,,,,,1622.0,1110.7,0.111,,,,1901.2,934.2,0.5408,,,
567,12,3,1631.9,809.0,0.2027,,,,,,,1544.1,1009.6,0.1833,,,,1886.7,946.9,0.3529,,,
570,12,2,,,,,,,,,,1546.5,1020.4,0.1885,,,,1896.8,958.5,1.0025,,,
573,13,6,1619.2,822.2,0.1704,1619.2,834.2,0.1115,1261.5,1514.3,0.1175,1541.7,1019.1,0.2089,,,,1130.3,1257.8,0.5441,1279.3,1514.3,0.1494
573,12,5,1624.3,827.9,0.1232,1619.6,837.4,0.105,,,,1548.5,1027.0,0.1666,,,,1894.5,960.6,0.377,1283.0,1510.5,0.1064
585,13,5,1633.1,835.7,0.2648,,,,,,,1543.7,1031.3,0.3028,1649.9,830.1,0.1515,1130.3,1282.7,0.6903,761.6,1757.5,0.1672
588,13,2,,,,,,,,,,1541.4,1024.6,0.2315,,,,1129.0,1291.1,0.4153,,,
588,12,4,1632.5,848.3,0.299,,,,,,,1538.4,1036.4,0.2184,1647.4,818.6,0.1494,1736.5,1289.0,0.3788,,,
591,12,4,1628.5,843.3,0.8465,,,,,,,1541.9,1042.0,0.2662,1801.6,1138.8,0.1337,1745.6,1296.8,0.5129,,,
594,12,4,1626.5,853.0,0.1927,,,,,,,1539.5,1047.2,0.2647,1652.1,832.5,0.118,1897.6,1016.5,0.5961,,,
594,13,5,1629.9,862.8,0.1051,,,,,,,1538.5,1056.9,0.2641,1647.1,834.3,0.1302,1121.6,1308.0,0.252,887.4,1758.8,0.1308
597,12,3,,,,,,,,,,1540.4,1057.7,0.3098,1798.1,1160.8,0.1463,1751.7,1299.9,0.2074,,,
597,13,2,,,,,,,,,,1536.1,1063.4,0.2878,,,,1135.0,1324.8,0.4725,,,
600,12,3,,,,,,,,,,1535.0,1072.6,0.155,1797.0,1146.8,0.1985,1899.6,1021.3,0.2735,,,
600,13,3,,,,,,,,,,1537.1,1072.5,0.1687,,,,1136.9,1331.5,0.3416,1166.3,1537.4,0.1012
603,12,2,,,,,,,,,,,,,1808.5,1135.6,0.1209,1752.1,1293.5,0.6136,,,
606,12,1,,,,,,,,,,,,,,,,1743.6,1280.7,0.1076,,,
606,13,1,,,,,,,,,,,,,,,,685.7,1470.9,0.2427,,,
609,12,1,,,,,,,,,,,,,,,,1896.8,1020.4,0.6471,,,
609,13,2,,,,,,,,,,,,,,,,1116.3,1317.6,0.2132,953.8,1868.4,0.1488
612,12,3,1615.3,850.6,0.2009,1603.5,838.8,0.1104,,,,,,,,,,1745.4,1264.6,0.3656,,,
612,13,3,1619.5,847.5,0.2426,,,,,,,,,,,,,685.2,1486.2,0.4904,957.2,1870.6,0.1291
615,12,3,1613.6,838.7,0.1354,,,,,,,,,,,,,1744.7,1256.4,0.3669,1750.7,1632.2,0.1165
615,13,2,,,,,,,,,,,,,,,,675.0,1485.6,0.7297,925.0,1741.8,0.1696
618,12,3,,,,,,,,,,1595.2,831.9,0.1109,,,,1874.4,992.3,0.2746,1761.5,1628.1,0.1155
621,12,3,1592.0,813.9,0.2345,,,,1875.1,1597.0,0.1109,,,,,,,,,,1766.7,1609.1,0.1194
624,12,4,1587.2,797.7,0.1973,,,,1886.7,1582.4,0.184,,,,,,,1713.0,1229.0,0.7871,1850.8,1612.3,0.1142
624,13,2,,,,,,,,,,,,,,,,666.0,1482.1,0.154,1062.8,1660.5,0.1259
627,12,4,1575.8,787.8,0.2364,,,,1897.0,1560.6,0.2364,,,,,,,1724.0,1214.4,0.1044,1872.3,1591.5,0.1145
627,13,2,,,,,,,,,,,,,,,,1683.8,1210.2,0.1367,938.8,1834.8,0.1506
630,12,5,1558.6,772.4,0.3398,,,,1901.3,1537.5,0.2762,1528.0,1078.5,0.1592,,,,1681.0,1188.6,0.5433,1876.9,1586.4,0.1016
633,12,5,1550.5,757.2,0.4953,,,,1888.0,1513.5,0.1229,1519.2,1063.5,0.1866,,,,1694.2,1176.0,0.3718,1781.8,1519.8,0.1022
636,12,5,1547.5,735.7,0.4273,,,,1179.3,1097.6,0.1483,1503.8,1041.4,0.1605,,,,1666.1,1147.5,0.1551,1198.0,1559.4,0.1099
639,12,4,1532.5,711.2,0.3252,,,,1172.5,1096.1,0.1524,1507.7,1034.0,0.1593,,,,1662.8,1114.7,0.3158,,,
639,13,3,1486.6,1033.5,0.2436,,,,,,,1509.1,1033.5,0.1448,,,,1086.2,1276.0,0.2997,,,
642,12,4,1516.8,691.6,0.3244,,,,1165.4,1062.2,0.1155,1497.6,1017.5,0.1764,,,,1689.3,1106.9,0.1609,,,
645,12,3,1501.8,676.3,0.4136,,,,,,,1489.2,1002.8,0.1594,,,,1809.5,852.1,0.166,,,
648,12,4,1697.8,1487.6,0.4425,1710.2,1475.2,0.1168,,,,1481.8,678.9,0.1847,,,,1648.4,1030.8,0.2532,,,
651,12,3,1486.3,625.1,0.5138,,,,,,,1473.9,649.9,0.1588,,,,1653.8,1003.4,0.2475,,,
654,12,5,1472.5,599.5,0.6031,1702.0,1411.9,0.1045,,,,1460.1,618.1,0.1623,,,,1652.4,984.0,0.5682,1782.6,1362.3,0.1481
660,12,6,1450.0,534.7,0.6042,1698.0,1357.2,0.1647,1782.6,1175.8,0.1306,1443.9,552.8,0.1611,,,,1776.6,740.3,0.1654,1788.7,1308.8,0.1578
663,12,6,1443.4,511.1,0.5895,1694.4,1317.8,0.151,1915.0,1234.1,0.16,,,,1694.4,800.3,0.1126,1762.8,670.9,0.26,1785.7,1249.3,0.1329
666,12,6,1429.6,480.4,0.463,1694.0,1291.7,0.1746,1910.3,1195.5,0.2572,1417.6,750.8,0.139,,,,1615.9,840.9,0.225,1796.2,1213.5,0.1716
669,12,5,1416.6,449.6,0.4835,1694.8,1247.3,0.1717,1912.5,1156.7,0.2862,1416.6,709.5,0.1214,,,,,,,1791.6,1180.8,0.176
672,12,6,1405.5,419.5,0.3985,1688.1,1212.1,0.1359,1909.3,1107.6,0.3391,1405.5,665.2,0.1652,,,,1614.4,769.7,0.2037,1792.6,1132.2,0.1151
678,12,6,1364.4,330.0,0.4516,1674.5,1134.4,0.1283,1908.9,1031.2,0.3466,1394.7,563.8,0.2712,,,,1046.8,996.9,0.1161,1795.5,1051.9,0.1471
681,12,6,1343.3,292.3,0.331,1663.5,1096.3,0.1536,1901.8,983.3,0.3318,1380.5,531.5,0.3068,,,,1037.9,956.8,0.6656,1924.1,1003.3,0.1254
684,12,6,1687.9,1075.8,0.3087,1665.5,1069.3,0.1299,1897.3,946.2,0.2931,1366.5,499.0,0.2975,,,,1695.4,434.2,0.1192,1912.2,952.7,0.1303
687,12,5,1676.2,1043.1,0.4653,1654.1,1030.5,0.1278,1890.1,904.8,0.3541,1351.8,458.7,0.276,,,,1012.5,886.0,0.3657,,,
690,12,6,1666.0,1006.7,0.4041,1658.6,994.5,0.1475,1878.2,872.4,0.2749,1344.0,421.0,0.2495,,,,1000.1,854.1,0.5136,1892.8,860.2,0.1299
693,12,5,1308.3,164.2,0.4333,1653.0,967.8,0.1256,1859.8,827.0,0.2938,1329.0,387.1,0.1482,,,,,,,1880.5,821.2,0.1317
696,12,6,1290.1,128.0,0.6414,1637.0,929.7,0.1405,1840.3,779.4,0.3023,1308.0,345.2,0.144,,,,1511.4,462.1,0.3937,1654.9,723.8,0.1115
699,12,5,1270.1,102.2,0.5342,,,,1828.2,758.6,0.3666,1270.1,118.4,0.155,,,,1489.8,425.0,0.2226,1632.2,683.2,0.1062
705,12,5,1586.4,839.7,0.3625,,,,1794.3,691.2,0.169,1586.4,824.4,0.1135,,,,1592.3,184.3,0.4619,1598.2,614.4,0.1584
708,12,6,1578.5,816.4,0.3438,,,,1782.3,664.0,0.1863,1578.5,806.6,0.1244,1485.4,265.6,0.1063,1444.6,339.4,0.2416,1537.8,501.7,0.112
711,12,5,1563.6,791.7,0.2406,,,,1765.2,638.1,0.241,1569.4,786.9,0.1821,,,,1442.6,321.5,0.1481,1598.2,561.4,0.1274
714,12,5,1760.6,632.8,0.1301,,,,1760.6,628.1,0.2973,1558.1,764.1,0.1364,,,,1417.5,290.6,0.1688,1541.2,529.7,0.1054
717,12,5,1841.9,835.8,0.1337,,,,1759.8,616.6,0.3825,1546.2,749.0,0.1178,,,,1546.2,105.0,0.3681,1688.6,607.5,0.1358
720,12,3,,,,,,,1757.0,606.9,0.1728,,,,,,,1395.9,260.7,0.2185,1530.6,499.0,0.1409
723,12,4,1739.2,590.6,0.1174,,,,1750.3,595.2,0.2195,,,,,,,1396.7,245.3,0.3075,1507.2,472.5,0.1145
726,12,4,1730.3,574.3,0.1562,,,,1746.5,578.8,0.2369,,,,,,,1536.5,84.6,0.1928,1504.2,467.5,0.1304
729,12,4,1522.9,710.9,0.2469,,,,1738.5,577.9,0.2337,,,,,,,1392.5,233.9,0.4782,1574.0,532.0,0.1308
732,12,4,1715.1,564.2,0.1915,,,,1731.4,564.2,0.2688,,,,,,,1389.7,231.0,0.1553,1519.9,475.3,0.1369
735,12,4,1522.7,705.0,0.2385,,,,1733.8,583.8,0.2413,,,,,,,1378.2,215.5,0.2557,1583.8,543.3,0.1509
738,12,4,1518.6,699.8,0.276,,,,1729.9,565.2,0.2753,,,,,,,1379.5,210.8,0.3229,1652.1,372.3,0.1115
741,12,5,1518.2,697.3,0.1995,,,,1726.1,556.1,0.3429,1184.4,105.9,0.111,,,,1375.9,198.6,0.1142,1660.4,556.1,0.1091
744,12,3,1519.5,689.2,0.3992,,,,1728.3,556.7,0.2666,1184.3,110.5,0.1227,,,,,,,,,
747,12,4,1514.9,681.8,0.4155,,,,1719.7,563.8,0.296,,,,,,,1514.9,56.8,0.1629,1504.2,476.4,0.1551
750,12,5,1508.8,673.5,0.139,,,,1569.7,479.3,0.1234,1508.8,669.5,0.1008,,,,1374.9,202.0,0.1621,1516.9,479.3,0.1066
753,12,3,1508.9,672.6,0.3322,,,,,,,,,,,,,1365.9,193.9,0.3354,1521.2,490.6,0.1185
756,12,2,1498.9,674.8,0.3313,,,,,,,,,,,,,1361.9,196.2,0.1975,,,
756,13,1,,,,,,,,,,,,,,,,485.7,787.4,0.6388,,,
759,12,1,,,,,,,,,,,,,,,,1352.0,199.2,0.3526,,,
759,13,1,,,,,,,,,,,,,,,,486.8,790.6,0.438,,,
762,12,2,1478.0,659.8,0.2266,,,,,,,,,,,,,1346.7,206.5,0.2267,,,
762,13,1,,,,,,,,,,,,,,,,475.6,788.9,0.5947,,,
765,12,2,1119.4,166.7,0.1948,,,,,,,,,,,,,1340.8,212.4,0.1389,,,
768,12,2,1113.7,188.6,0.1815,,,,,,,,,,,,,1334.3,226.0,0.2815,,,
771,12,1,,,,,,,,,,,,,,,,1319.7,233.9,0.4916,,,
774,12,1,,,,,,,,,,,,,,,,1291.6,237.6,0.3532,,,
774,13,1,,,,,,,,,,,,,,,,478.8,846.3,0.5457,,,
777,12,2,,,,,,,1611.1,527.8,0.2275,,,,,,,1409.6,94.1,0.2426,,,
783,12,1,,,,,,,1593.6,544.6,0.2536,,,,,,,,,,,,
783,13,1,,,,,,,,,,,,,,,,484.1,887.9,0.1632,,,
786,12,2,,,,,,,1592.1,559.0,0.1793,,,,,,,1384.7,119.2,0.501,,,
789,12,2,,,,,,,1585.9,557.3,0.1235,,,,,,,1371.8,124.8,0.51,,,
792,12,2,,,,,,,1574.0,552.1,0.1721,1001.2,54.4,0.1096,,,,,,,,,
795,12,3,977.3,71.9,0.4633,,,,1552.0,558.5,0.1622,,,,,,,1328.0,156.5,0.2069,,,
798,12,2,949.7,100.0,0.5639,,,,,,,1084.1,73.9,0.1246,,,,,,,,,
801,12,3,924.4,130.8,0.5384,,,,,,,1057.5,90.2,0.158,,,,1284.1,198.4,0.1837,,,
804,12,3,899.3,171.2,0.513,,,,,,,1029.2,118.9,0.1691,,,,1257.9,214.0,0.3782,,,
